Name;CityName
Borobudur;Kab Magelang
Boroko;Kab Bolaang Mongondow Utara
Borong;Kab Manggarai Timur
Bosar Maligas;Kab Simalungun
Botawa;Kab Waropen
Botumoito;Kab Boalemo
Bowobado;Kab Deiyai
Boyan Tanjung ;Kab Kapuas Hulu
Boyolali;Kab Boyolali
Boyolangu;Kab Tulungagung
Braja Slebah;Kab Lampung Timur
Brandan Barat;Kab Langkat
Brang Rea;Kab Sumbawa Barat
Brangsong;Kab Kendal
Brati;Kab Grobogan
Brebes;Kab Brebes
Bringin ;Kab Ngawi
Bringin ;Kab Semarang
Brondong;Kab Lamongan
Bruno;Kab Purworejo
BTS Ulu;Kab Musi Rawas
Bua;Kab Luwu Utara
Bua Ponrang;Kab Luwu Utara
Buahdua;Kab Sumedang
Buaran;Kab Pekalongan
Buay Madang;Kab Ogan Komering Ulu Timur
Buay Pemaca;Kab Ogan Komering Ulu Selatan
Buay Pemuka Peliung;Kab Ogan Komering Ulu Timur
Buay Runjung;Kab Ogan Komering Ulu Selatan
Buay Sandang Aji;Kab Ogan Komering Ulu Selatan
Buayan;Kab Kebumen
Bubon;Kab Aceh Barat
Bubulan;Kab Bojonegoro
Bubutan;Kota Surabaya
Budong-Budong;Kab Mamuju
Buduran;Kab Sidoarjo
Bugulkidul;Kota Pasuruan
Bukal;Kab Buol
Bukateja;Kab Purbalingga
Bukit Barisan;Kab Lima Puluh Kota
Bukit Batu ;Kota Palangkaraya
Bukit Batu;Kab Bengkalis
Bukit Bestari;Kota Tanjung Pinang
Bukit Intan;Kota Pangkal Pinang
Bukit;Kab Bener Meriah
Bukit Kapur;Kota Dumai
Bukit Kecil;Kota Palembang
Bukit Kemuning;Kab Lampung Utara
Bukit Malintang;Kab Mandailing Natal
Bukit Raya;Kota Pekanbaru
Bukit Sundi;Kab Solok
Bukit Tinggi;Kota Bukit Tinggi
Bukit Tusam;Kab Aceh Tenggara
Buko;Kab Banggai Kepulauan
Bula;Kab Seram Bagian Timur
Bulagi;Kab Banggai Kepulauan
Bulagi Selatan;Kab Banggai Kepulauan
Bulak;Kota Surabaya
Bulakamba;Kab Brebes
Bulang Galang;Kota Batam
Buleleng;Kab Buleleng
Bulik;Kab Lamandau
Bulu ;Kab Rembang
Bulu ;Kab Temanggung
Bulu;Kab Sukoharjo
Bulukerto ;Kab Wonogiri
Bulukumba;Kab Bulukumba
Bululawang;Kab Malang
Bulupesantren;Kab Kebumen
Bulupoddo;Kab Sinjai
Bumi Agung;Kab Lampung Timur
Bumi Nabung;Kab Lampung Tengah
Bumi Ratu Nuban;Kab Lampung Tengah
Bumi Raya;Kab Morowali
Bumiaji;Kota Batu
Bumiayu;Kab Brebes
Bumijawa;Kab Tegal
Bunaken;Kota Manado
Bunga Mayang;Kab Lampung Utara
Bunga Raya;Kab Siak
Bungah;Kab Gresik
Bungatan;Kab Situbondo
Bungaya;Kab Gowa
Bungbulang;Kab Garut
Bungi;Kota Bau-Bau
Bungkal;Kab Ponorogo
